--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sat Oct  7 19:26:15 2023
--------------------------------------------------------------------------------

{'username': 'shubhamborse', 'name': 'Google Chrome Helper (Renderer)', 'pid': 4838, 'vms': 1557402.875}
{'username': 'shubhamborse', 'name': 'ReportCrash', 'pid': 4849, 'vms': 398502.359375}
{'username': 'shubhamborse', 'name': 'siriknowledged', 'pid': 4855, 'vms': 398673.203125}
{'username': 'shubhamborse', 'name': 'IMDPersistenceAgent', 'pid': 4856, 'vms': 398705.40625}
{'username': 'shubhamborse', 'name': 'keyboardservicesd', 'pid': 4873, 'vms': 398685.265625}
{'username': 'shubhamborse', 'name': 'PlugInLibraryService', 'pid': 4885, 'vms': 398493.125}
{'username': 'shubhamborse', 'name': 'PlugInLibraryService', 'pid': 4887, 'vms': 398521.125}
{'username': 'shubhamborse', 'name': 'XprotectService', 'pid': 4888, 'vms': 398705.453125}
{'username': 'shubhamborse', 'name': 'MTLAssetUpgraderD', 'pid': 4893, 'vms': 398662.3125}
{'username': 'shubhamborse', 'name': 'linkd', 'pid': 4894, 'vms': 398717.203125}
{'username': 'shubhamborse', 'name': 'ContainerMetadataExtractor', 'pid': 4911, 'vms': 398668.9375}
{'username': 'shubhamborse', 'name': 'OSDUIHelper', 'pid': 4953, 'vms': 399452.0}
{'username': 'shubhamborse', 'name': 'ThemeWidgetControlViewService', 'pid': 4970, 'vms': 399804.921875}
{'username': 'shubhamborse', 'name': 'MTLCompilerService', 'pid': 4975, 'vms': 399395.421875}
{'username': 'shubhamborse', 'name': 'PlugInLibraryService', 'pid': 5013, 'vms': 398502.125}
{'username': 'shubhamborse', 'name': 'com.apple.quicklook.ThumbnailsAgent', 'pid': 5014, 'vms': 399216.03125}
{'username': 'shubhamborse', 'name': 'ThumbnailExtension_macOS', 'pid': 5016, 'vms': 398738.546875}
{'username': 'shubhamborse', 'name': 'ScopedBookmarkAgent', 'pid': 5019, 'vms': 398689.59375}
{'username': 'shubhamborse', 'name': 'appstoreagent', 'pid': 5078, 'vms': 398715.078125}
{'username': 'shubhamborse', 'name': 'amsengagementd', 'pid': 5081, 'vms': 403031.171875}
{'username': 'shubhamborse', 'name': 'promotedcontentd', 'pid': 5082, 'vms': 398652.203125}
{'username': 'shubhamborse', 'name': 'mobiletimerd', 'pid': 5178, 'vms': 398672.578125}
{'username': 'shubhamborse', 'name': 'backgroundassets.user', 'pid': 5180, 'vms': 398533.375}
{'username': 'shubhamborse', 'name': 'com.apple.Safari.SafeBrowsing.Service', 'pid': 5185, 'vms': 398699.703125}
{'username': 'shubhamborse', 'name': 'photoanalysisd', 'pid': 5187, 'vms': 398714.328125}
{'username': 'shubhamborse', 'name': 'photolibraryd', 'pid': 5189, 'vms': 398742.9375}
