--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sat Oct  7 19:08:27 2023
--------------------------------------------------------------------------------

{'name': 'CommCenter', 'pid': 4617, 'username': 'shubhamborse', 'vms': 398710.015625}
{'name': 'CoreLocationAgent', 'pid': 4618, 'username': 'shubhamborse', 'vms': 398806.671875}
{'name': 'callservicesd', 'pid': 4620, 'username': 'shubhamborse', 'vms': 398715.890625}
{'name': 'contactsd', 'pid': 4622, 'username': 'shubhamborse', 'vms': 398705.734375}
{'name': 'com.apple.FaceTime.FTConversationService', 'pid': 4623, 'username': 'shubhamborse', 'vms': 399067.546875}
{'name': 'dmd', 'pid': 4624, 'username': 'shubhamborse', 'vms': 398702.90625}
{'name': 'ManagedSettingsAgent', 'pid': 4625, 'username': 'shubhamborse', 'vms': 398631.140625}
{'name': 'Keychain Circle Notification', 'pid': 4628, 'username': 'shubhamborse', 'vms': 398718.921875}
{'name': 'cdpd', 'pid': 4629, 'username': 'shubhamborse', 'vms': 398696.984375}
{'name': 'triald', 'pid': 4632, 'username': 'shubhamborse', 'vms': 398701.25}
{'name': 'intelligentroutingd', 'pid': 4634, 'username': 'shubhamborse', 'vms': 398705.515625}
{'name': 'containermanagerd', 'pid': 4635, 'username': 'shubhamborse', 'vms': 398697.515625}
{'name': 'SafariBookmarksSyncAgent', 'pid': 4637, 'username': 'shubhamborse', 'vms': 398859.625}
{'name': 'suggestd', 'pid': 4638, 'username': 'shubhamborse', 'vms': 399038.390625}
{'name': 'sociallayerd', 'pid': 4639, 'username': 'shubhamborse', 'vms': 398690.78125}
{'name': 'ContextService', 'pid': 4640, 'username': 'shubhamborse', 'vms': 398803.671875}
{'name': 'neagent', 'pid': 4641, 'username': 'shubhamborse', 'vms': 398704.828125}
{'name': 'replayd', 'pid': 4642, 'username': 'shubhamborse', 'vms': 398715.0625}
{'name': 'calaccessd', 'pid': 4643, 'username': 'shubhamborse', 'vms': 398712.859375}
{'name': 'com.apple.hiservices-xpcservice', 'pid': 4644, 'username': 'shubhamborse', 'vms': 398538.15625}
{'name': 'itunescloudd', 'pid': 4652, 'username': 'shubhamborse', 'vms': 398729.046875}
{'name': 'CoreServicesUIAgent', 'pid': 4653, 'username': 'shubhamborse', 'vms': 400157.3125}
{'name': 'UsageTrackingAgent', 'pid': 4656, 'username': 'shubhamborse', 'vms': 398663.609375}
{'name': 'secinitd', 'pid': 4657, 'username': 'shubhamborse', 'vms': 398705.515625}
{'name': 'mediaanalysisd', 'pid': 4658, 'username': 'shubhamborse', 'vms': 398876.203125}
{'name': 'bluetoothuserd', 'pid': 4660, 'username': 'shubhamborse', 'vms': 398699.0}
{'name': 'pkd', 'pid': 4662, 'username': 'shubhamborse', 'vms': 398705.28125}
{'name': 'localizationswitcherd', 'pid': 4663, 'username': 'shubhamborse', 'vms': 398698.25}
{'name': 'com.apple.geod', 'pid': 4670, 'username': 'shubhamborse', 'vms': 398707.84375}
{'name': 'CategoriesService', 'pid': 4685, 'username': 'shubhamborse', 'vms': 398669.6875}
{'name': 'iconservicesagent', 'pid': 4688, 'username': 'shubhamborse', 'vms': 398744.671875}
{'name': 'AssetCacheLocatorService', 'pid': 4692, 'username': 'shubhamborse', 'vms': 398694.25}
{'name': 'iCloudNotificationAgent', 'pid': 4697, 'username': 'shubhamborse', 'vms': 398723.875}
{'name': 'biomesyncd', 'pid': 4707, 'username': 'shubhamborse', 'vms': 398684.75}
{'name': 'translationd', 'pid': 4714, 'username': 'shubhamborse', 'vms': 398724.90625}
{'name': 'ctkd', 'pid': 4717, 'username': 'shubhamborse', 'vms': 398662.03125}
{'name': 'coreauthd', 'pid': 4719, 'username': 'shubhamborse', 'vms': 398698.546875}
{'name': 'CursorUIViewService', 'pid': 4740, 'username': 'shubhamborse', 'vms': 399603.609375}
{'name': 'contentlinkingd', 'pid': 4742, 'username': 'shubhamborse', 'vms': 398699.40625}
{'name': 'webpushd', 'pid': 4744, 'username': 'shubhamborse', 'vms': 398832.859375}
{'name': 'swcd', 'pid': 4745, 'username': 'shubhamborse', 'vms': 398698.3125}
{'name': 'maild', 'pid': 4760, 'username': 'shubhamborse', 'vms': 398681.8125}
{'name': 'proactived', 'pid': 4761, 'username': 'shubhamborse', 'vms': 398706.515625}
{'name': 'CMFSyncAgent', 'pid': 4762, 'username': 'shubhamborse', 'vms': 398501.640625}
{'name': 'donotdisturbd', 'pid': 4763, 'username': 'shubhamborse', 'vms': 398687.859375}
{'name': 'IntelligencePlatformComputeService', 'pid': 4764, 'username': 'shubhamborse', 'vms': 398665.28125}
{'name': 'AppSSOAgent', 'pid': 4782, 'username': 'shubhamborse', 'vms': 399521.46875}
{'name': 'pbs', 'pid': 4785, 'username': 'shubhamborse', 'vms': 398577.421875}
{'name': 'Google Chrome', 'pid': 4786, 'username': 'shubhamborse', 'vms': 432227.921875}
{'name': 'chrome_crashpad_handler', 'pid': 4788, 'username': 'shubhamborse', 'vms': 431255.296875}
{'name': 'Google Chrome Helper (GPU)', 'pid': 4795, 'username': 'shubhamborse', 'vms': 431962.65625}
{'name': 'Google Chrome Helper', 'pid': 4796, 'username': 'shubhamborse', 'vms': 431763.234375}
{'name': 'Google Chrome Helper', 'pid': 4797, 'username': 'shubhamborse', 'vms': 431708.4375}
{'name': 'SafariLaunchAgent', 'pid': 4801, 'username': 'shubhamborse', 'vms': 398671.09375}
{'name': 'Google Chrome Helper (Renderer)', 'pid': 4810, 'username': 'shubhamborse', 'vms': 1557506.65625}
{'name': 'Google Chrome Helper (Renderer)', 'pid': 4814, 'username': 'shubhamborse', 'vms': 1557425.484375}
{'name': 'Google Chrome Helper', 'pid': 4815, 'username': 'shubhamborse', 'vms': 431977.328125}
{'name': 'AudioComponentRegistrar', 'pid': 4817, 'username': 'shubhamborse', 'vms': 398697.59375}
{'name': 'CarbonComponentScannerXPC', 'pid': 4818, 'username': 'shubhamborse', 'vms': 33197.109375}
{'name': 'MTLCompilerService', 'pid': 4822, 'username': 'shubhamborse', 'vms': 399516.421875}
{'name': 'MTLCompilerService', 'pid': 4823, 'username': 'shubhamborse', 'vms': 399481.5}
{'name': 'spindump_agent', 'pid': 4829, 'username': 'shubhamborse', 'vms': 398494.203125}
{'name': 'csnameddatad', 'pid': 4830, 'username': 'shubhamborse', 'vms': 398538.03125}
